epoch,total_active_stake,total_blocks,pool_id,blocks,active_stake,active_size,delegators_count,rewards,fees,pool_perf,Active Stake (ADA),Pool performance (%)
289,2.33112E+16,21600,pool1l7280wqes4sqeyt4jer5wadyhhu656najdw74cqhlzg9y9qf4dk,0,1847010,7.92E-11,1,0,0,0,1.84701,0
289,2.33112E+16,21600,pool1teg62xfrjvgahfukqhgd0q4wrkn7k0ee03tnju3klt63ws48w50,0,1854270,7.95E-11,1,0,0,0,1.85427,0
289,2.33112E+16,21600,pool1mn0ydnu5tt4w80y3dxdsajddhdz03p6mudk8vlh55r5exqywxhh,0,1865490,8.00E-11,5,0,0,0,1.86549,0
289,2.33112E+16,21600,pool18n7kk90klq4uf45j6pguqskyrxe9eprgfgrjhr7cpvdxzus3zn8,0,2029803,8.71E-11,1,0,0,0,2.029803,0
289,2.33112E+16,21600,pool1pm635fj8skdkh0lvhtcygateyt4nt4gj5rap28zqpe7rv0wgdhf,0,2050621,8.80E-11,2,0,0,0,2.050621,0
289,2.33112E+16,21600,pool1wx9rs2z0nuzds7aj9dvptwcruxputh3dvvfcavnwr6hkjvly20w,0,2053563,8.81E-11,1,0,0,0,2.053563,0
289,2.33112E+16,21600,pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,0,2081122,8.93E-11,1,0,0,0,2.081122,0
289,2.33112E+16,21600,pool1l38lxca7tzp0trqedr97usd0zk89q2x74qrez5xcafxechcw452,0,2424605,1.04E-10,1,0,0,0,2.424605,0
289,2.33112E+16,21600,pool1fv5vleayk43pds6e20kguxr6lsh87sdcf47y92hm0hyt6vn6sfz,0,2426761,1.04E-10,1,0,0,0,2.426761,0
289,2.33112E+16,21600,pool1stjukmjtgs7rdvy8ucsc543f9y2ct56ss08zed392php7k0teaq,0,2443789,1.05E-10,1,0,0,0,2.443789,0
289,2.33112E+16,21600,pool1xcy8wtzrmzdhr2sqjjm8qe0hrxr4dc23zsv9mdfegahv5t0jud9,0,2450653,1.05E-10,1,0,0,0,2.450653,0
289,2.33112E+16,21600,pool1hvxm77j5xuuzx4avrn2jk7desqsr3pxqskfytpxz0e24qjtqayd,0,2478080,1.06E-10,1,0,0,0,2.47808,0
289,2.33112E+16,21600,pool1dmuaa0wmqrwwx467p48fu83y5w7wdkxf8xlgymmfc73kjy3vxg7,0,2486679,1.07E-10,3,0,0,0,2.486679,0
289,2.33112E+16,21600,pool1kxedw6c34730h344lz0s0z6848005qrs096l8l2whcwly3rcl27,0,2609445,1.12E-10,1,0,0,0,2.609445,0
289,2.33112E+16,21600,pool1ktg9hvae8kluwnr29khma3mxd7ffjj9k5l0yjdqlmazjclv4j3d,0,2618354,1.12E-10,1,0,0,0,2.618354,0
289,2.33112E+16,21600,pool1l5tmww2aqkhl3lfcrced6xpsd30pzx65p6v4e48v29g4jtlvf3d,0,2621434,1.12E-10,2,0,0,0,2.621434,0
289,2.33112E+16,21600,pool1z59y9zk6kvyzl9fv7evxpnry8sk6ymxuee0lc6kw2rkvzh6f077,0,2623282,1.13E-10,1,0,0,0,2.623282,0
289,2.33112E+16,21600,pool1ygrwdlhn46gehyay2duxp8ynh57drxg0lgf9huymxlpvukdv0k6,0,2625614,1.13E-10,1,0,0,0,2.625614,0
289,2.33112E+16,21600,pool1pvxsyzqze90jyyqqewg5spkh6tst0cwyvtvh6qfsn6xx75p2vk9,0,2639298,1.13E-10,1,0,0,0,2.639298,0
289,2.33112E+16,21600,pool1gaq7x3ejv47cykw2wrcyt99f3gcy3ayyuxsf6gqvd8j2jf90w4h,0,2646822,1.14E-10,1,0,0,0,2.646822,0
289,2.33112E+16,21600,pool1r48usrtdxqzt6dmd02xgjss8xgqc9pc92cpkm4pykywnv7n33g6,0,2729004,1.17E-10,1,0,0,0,2.729004,0
289,2.33112E+16,21600,pool1m2tgjxn880a3v6w4v3uf3kz9kduhvtr97slmpwnppd6r63230sm,0,2888286,1.24E-10,2,0,0,0,2.888286,0
289,2.33112E+16,21600,pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,0,2915210,1.25E-10,1,0,0,0,2.91521,0
289,2.33112E+16,21600,pool12jqfrwhuv2jn0uymwmud2d63gp5drj08fjfart9dxgpu2tmj8a0,0,2925923,1.26E-10,1,0,0,0,2.925923,0
289,2.33112E+16,21600,pool1646vlaras0deljthqtfl9dpdw2xsna799l0kayyu9v44cql4ky0,0,2925923,1.26E-10,1,0,0,0,2.925923,0
289,2.33112E+16,21600,pool1n96ql32ct37n8w0l9ddhnc2t8tv0uyd6kuhzua8uxy63xs35wgl,0,2944965,1.26E-10,2,0,0,0,2.944965,0
289,2.33112E+16,21600,pool1vhusc9c38uqkuspnecq6clcqadx86g8wpxfaadyxfwdrukh0kg0,0,2953199,1.27E-10,1,0,0,0,2.953199,0
289,2.33112E+16,21600,pool1x3wuw3ungmrq5padffsqne82fx5uesy6dc2qmj83xyanq4rgnz0,0,3000000,1.29E-10,1,0,0,0,3,0
289,2.33112E+16,21600,pool1q6lzp5x6tqg04chsxakupgq6x829nsx2dk5w8h043fnajm8d3uj,0,3048078,1.31E-10,1,0,0,0,3.048078,0
289,2.33112E+16,21600,pool19ufezgx63kzn7z57g3qsuekzjhjgjk4d40v5ny3jzwnpc98326f,0,3064739,1.31E-10,1,0,0,0,3.064739,0
289,2.33112E+16,21600,pool1q86d5lfjtyrq8yzkyc55dy5p4yw0qvgkp5nqgr9ld5fv6ustg8h,0,3070591,1.32E-10,1,0,0,0,3.070591,0
289,2.33112E+16,21600,pool17037mqf5k46e6jpaue46lfy55v827re9cgm3qp8vsp33q8zufvy,0,3080875,1.32E-10,3,0,0,0,3.080875,0
289,2.33112E+16,21600,pool136mu955m4fl6stzq9rjrsww92xftwnjr85997zykeqylc9h3k8u,0,3092547,1.33E-10,1,0,0,0,3.092547,0
289,2.33112E+16,21600,pool1uepsx7m029tmfmy60pfp99cp70an7retw69hs9m4dfdquvp9phz,0,3425705,1.47E-10,1,0,0,0,3.425705,0
289,2.33112E+16,21600,pool1a9j9dtdppvfq94w84ns59fnrptz3cj2mkwpmku57e2yf5k6a4ae,0,3622402,1.55E-10,1,0,0,0,3.622402,0
289,2.33112E+16,21600,pool1hsrf8xr4cysmyt0570yt25vjah86773vc99h8ps8r57yvfrf48m,0,3869934,1.66E-10,1,0,0,0,3.869934,0
289,2.33112E+16,21600,pool1h5uycju7n5puxn2ckfkpza550rf6jk4twr6ef0hsmxft78ajt6q,0,3981480,1.71E-10,1,0,0,0,3.98148,0
289,2.33112E+16,21600,pool17dx6ld5544pngfc4w6ere708zmjga7wmykeelqhqt4tpkjcpup2,0,4000000,1.72E-10,1,0,0,0,4,0
289,2.33112E+16,21600,pool1ctfxzwgqakxujmn95dfvprcm0h3dtzjh408apk0cewl0c4r6gg3,0,4233056,1.82E-10,1,0,0,0,4.233056,0
289,2.33112E+16,21600,pool1vmj2h5vwgc369g9v4lym57rg84t8sh6twn2sc75cr3pdjcg90gt,0,4422726,1.90E-10,2,0,0,0,4.422726,0
289,2.33112E+16,21600,pool1qw5jc5u4k6ck47kdwtwh8msv6t82x5c6qx38hjaycnha6skrek7,0,4593662,1.97E-10,4,0,0,0,4.593662,0
289,2.33112E+16,21600,pool1yw8qh0jnnl6eumgzt77fulfhgmyzda39zcndgvyc27ffu6jeh5w,0,4613646,1.98E-10,1,0,0,0,4.613646,0
289,2.33112E+16,21600,pool1llwfa6erdh7k87j06y2z9999jcc84cnezwhg9e2sulrgwzrsug4,0,4613866,1.98E-10,1,0,0,0,4.613866,0
289,2.33112E+16,21600,pool1ew5543rzgp7vs5qvmc0c42zucz9v6d3vct2zsa74erjfjen2p2d,0,4618002,1.98E-10,1,0,0,0,4.618002,0
